# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	2003
#@/user_id	e778cdc0-6bca-4148-ae83-6766ddb9099d
a 	啊	c=5 d=2.59854 t=2003
gei ni 	給你	c=0 d=0.0715338 t=2003
gen 	跟	c=1 d=0.499074 t=2003
gen ben 	根本	c=2 d=1.80988 t=2003
gen ju 	根據	c=0 d=0.0839457 t=2003
gen ju yi shang shu ju 	根據以上數據	c=1 d=0.843665 t=2003
gen ni 	跟你	c=1 d=0.631284 t=2003
gen ni zou 	跟你走	c=0 d=0.0591555 t=2003
gen wo zou 	跟我走	c=1 d=0.582748 t=2003
geng 	耿	c=1 d=0.293758 t=2003
geng gai 	更改	c=1 d=0.65377 t=2003
geng xin 	更新	c=1 d=0.202909 t=2003
gong cheng 	工程	c=1 d=0.0685632 t=2003
gong ju 	工具	c=1 d=0.519442 t=2003
gong shang 	工商	c=1 d=0.835278 t=2003
gong shi 	公式	c=2 d=1.78433 t=2003
gong zuo 	工作	c=1 d=0.565525 t=2003
gong zuo shang 	工作上	c=1 d=0.66034 t=2003
gou mai 	購買	c=0 d=0.029523 t=2003
gu ge 	谷歌	c=4 d=1.26082 t=2003
gu ge fan yi 	谷歌翻譯	c=1 d=0.26054 t=2003
gu ge xue shu 	谷歌學術	c=1 d=0.0614212 t=2003
gu ji 	估計	c=11 d=6.09925 t=2003
gu ji wang luo 	估計網絡	c=2 d=0.756294 t=2003
guan hu 	關乎	c=1 d=0.023442 t=2003
guan jian 	關鍵	c=0 d=0.00823602 t=2003
guan yu 	關於	c=1 d=0.109701 t=2003
guang 	光	c=1 d=0.548812 t=2003
guang gao 	廣告	c=1 d=0.597501 t=2003
guang liu 	光流	c=11 d=6.86261 t=2003
guang liu fa 	光流法	c=2 d=1.41794 t=2003
guang liu gu ji 	光流估計	c=1 d=1 t=1994
gui 	貴	c=1 d=0.458406 t=2003
gui dang 	歸檔	c=1 d=0.111917 t=2003
gui yi 	歸一	c=1 d=0.412714 t=2003
guo 	過	c=2 d=0.813364 t=2003
guo cheng 	過程	c=1 d=0.414783 t=2003
guo fang 	國防	c=1 d=0.0323869 t=2003
guo jia 	國家	c=1 d=0.923116 t=2003
guo jia an quan 	國家安全	c=3 d=1.1222 t=2003
guo jia an quan de 	國家安全的	c=2 d=1.80086 t=2003
guo qi 	過期	c=1 d=0.351455 t=2003
guo qi le 	過期了	c=1 d=0.349938 t=2003
guo qiang 	國強	c=0 d=0.0044601 t=2003
guo qiang bi ba 	國強必霸	c=1 d=0.0448245 t=2003
ha 	哈	c=1 d=0.88692 t=2003
ha ha 	哈哈	c=10 d=6.24263 t=2003
ha ha ha 	哈哈哈	c=2 d=1.09451 t=2003
hai 	還	c=0 d=0.0688008 t=2003
hai bu zhi 	還不知	c=1 d=0.246597 t=2003
hai shi 	還是	c=2 d=0.688797 t=2003
hai xu yao 	還需要	c=1 d=0.444858 t=2003
hai yang 	海洋	c=1 d=0.774916 t=2003
hai yang 	海陽	c=1 d=0.771052 t=2003
hai yao 	還要	c=0 d=0.0250324 t=2003
hai yao kan 	還要看	c=1 d=0.251579 t=2003
hai you 	還有	c=1 d=0.657047 t=2003
han shu 	函數	c=2 d=0.965605 t=2003
han yu pin yin 	漢語拼音	c=1 d=0.637628 t=2003
hao 	好	c=5 d=3.49147 t=2003
hao 	號	c=1 d=0.323033 t=2003
hao ba 	好吧	c=2 d=0.498208 t=2003
hao chi 	好吃	c=0 d=0.0053397 t=2003
hao da 	好噠	c=1 d=0.847894 t=2003
hao de 	好的	c=1 d=0.079659 t=2003
hao di 	好滴	c=1 d=0.254107 t=2003
hao le 	好了	c=3 d=1.80468 t=2003
hao nan 	好難	c=0 d=0.0353455 t=2003
hao nan ji 	好難記	c=1 d=0.355226 t=2003
hao wu 	毫無	c=0 d=0.0965605 t=2003
hao wu bian ji 	毫無邊際	c=1 d=0.970446 t=2003
hao ya 	好呀	c=1 d=0.557106 t=2003
hao you 	好友	c=1 d=0.826959 t=2003
hao you qian 	好有錢	c=1 d=0.802519 t=2003
he 	和	c=16 d=3.25707 t=2003
he cheng 	合成	c=1 d=0.582748 t=2003
he ping 	和平	c=0 d=0.0941765 t=2003
he ping de nian dai 	和平的年代	c=1 d=0.946485 t=2003
he xin 	核心	c=1 d=0.161218 t=2003
hei ke 	黑客	c=1 d=0.425283 t=2003
