# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6948
#@/user_id	sync-rime
gxu 	毒	c=1 d=0.0338776 t=6948
gxyu 	五线谱	c=1 d=0.472366 t=6948
h 	上	c=16 d=1.0908 t=6948
hdwv 	辈分	c=1 d=0.068563 t=6948
hg 	睛	c=1 d=1 t=6852
hggh 	鬥	c=2 d=1.34403 t=6948
hghg 	凸	c=2 d=1.10588 t=6948
hhdl 	上面	c=1 d=1 t=6676
hhgg 	上	c=2 d=0.708699 t=6948
hhhh 	目	c=3 d=0.00224321 t=6948
hhit 	上海	c=3 d=0.911578 t=6948
hhmr 	上网	c=2 d=0.326558 t=6948
hhqc 	上色	c=3 d=0.447185 t=6948
hhu 	卡	c=3 d=0.645154 t=6948
hhue 	目前	c=1 d=0.0109436 t=6948
hhvi 	目录	c=5 d=1.58479 t=6948
hhwy 	卡住	c=2 d=0.595132 t=6948
hhyy 	上文	c=2 d=0.154629 t=6948
hj 	旧	c=4 d=0.904726 t=6948
hjdl 	桌面	c=6 d=1.36746 t=6948
hjj 	卓	c=1 d=0.142987 t=6948
hk 	占	c=2 d=0.46701 t=6948
hka 	战	c=1 d=0.470011 t=6948
hkfc 	点云	c=2 d=0.66034 t=6948
hkgb 	点击	c=1 d=0.650509 t=6948
hko 	点	c=4 d=0.419124 t=6948
hnhg 	凹	c=1 d=0.557106 t=6948
horn 	虚拟	c=1 d=0.565525 t=6948
htip 	睡觉	c=1 d=0.847894 t=6948
hwde 	具有	c=2 d=0.0605406 t=6948
hwws 	具体	c=1 d=0.543351 t=6948
hx 	此	c=2 d=0.155888 t=6948
hxqh 	此外	c=1 d=0.000662162 t=6948
hxs 	柴	c=1 d=0.396532 t=6948
i 	不	c=6 d=0.948162 t=6948
i 	水	c=1 d=0.113608 t=6948
iakh 	满足	c=1 d=0.00946643 t=6948
iawn 	港	c=1 d=1 t=6787
ib 	波	c=2 d=0.308819 t=6948
ibyr 	涵义	c=1 d=2.4545e-05 t=6948
ick 	治	c=1 d=0.0181334 t=6948
icub 	治疗	c=1 d=0.0183156 t=6948
idr 	源	c=2 d=0.429854 t=6948
idri 	源泉	c=3 d=1.14887 t=6948
idtf 	涛	c=1 d=0.418951 t=6948
ifat 	法医	c=1 d=0.371577 t=6948
ifc 	法	c=9 d=1.93764 t=6948
ific 	法治	c=4 d=2.02898 t=6948
iftj 	渚	c=2 d=0.235746 t=6948
igek 	添加	c=1 d=0.241714 t=6948
igq 	光	c=4 d=0.538751 t=6948
igqc 	浅色	c=1 d=0.0140519 t=6948
igw 	兴	c=1 d=0.00153381 t=6948
ih 	小	c=7 d=1.48039 t=6948
ihg 	泪	c=1 d=1 t=6901
ihib 	滤波	c=1 d=0.315058 t=6948
ihn 	滤	c=1 d=0.307279 t=6948
iigk 	消融	c=1 d=3.23143e-05 t=6948
iigu 	水平	c=1 d=0.0125253 t=6948
iiii 	水	c=3 d=0.293366 t=6948
iijt 	水星	c=1 d=0.565525 t=6948
iixj 	消费	c=1 d=0.106993 t=6948
ijl 	温	c=1 d=0.733447 t=6948
ijxx 	混	c=1 d=0.980199 t=6948
imya 	测试	c=2 d=0.606555 t=6948
int 	泌	c=1 d=0.0352602 t=6948
inyx 	学习率	c=1 d=0.472366 t=6948
ioin 	深度学习	c=5 d=0.413803 t=6948
iowy 	深度估计	c=28 d=2.57761 t=6948
ip 	党	c=1 d=0.0977838 t=6948
ipb 	学	c=5 d=0.599559 t=6948
ipbp 	学院	c=5 d=0.402891 t=6948
ipfk 	深圳	c=2 d=0.891964 t=6948
ipiv 	渲染	c=2 d=0.725251 t=6948
ipmq 	觉	c=1 d=0.0875975 t=6948
ipnf 	深层	c=1 d=0.362402 t=6948
ipnu 	学习	c=34 d=5.38313 t=6948
ipoa 	深度	c=65 d=4.24263 t=6948
ipqc 	深色	c=1 d=0.0144076 t=6948
ipsu 	学校	c=1 d=1 t=6503
ipsy 	学术	c=2 d=0.0160533 t=6948
ipws 	深	c=1 d=0.000224868 t=6948
irgg 	小提琴	c=1 d=0.390628 t=6948
irig 	激光	c=1 d=0.00215493 t=6948
is 	浦	c=2 d=0.477114 t=6948
it 	少	c=1 d=0.371577 t=6948
itx 	海	c=3 d=0.223449 t=6948
iu 	洋	c=6 d=0.478249 t=6948
iuen 	注意力	c=4 d=0.571202 t=6948
iufc 	滚动	c=1 d=4.19094e-05 t=6948
iuqc 	润色	c=3 d=0.000430025 t=6948
iv 	当	c=1 d=0.355226 t=6948
iwde 	没有	c=2 d=0.239309 t=6948
iy 	济	c=1 d=1 t=6576
iyc 	流	c=1 d=0.136695 t=6948
