# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.8.4
#@/tick	8092
#@/user_id	Linux
ewsf 	股票	c=3 d=0.298351 t=8092
f 	地	c=2 d=0.406897 t=8092
fa 	域	c=1 d=0.621885 t=8092
fal 	载	c=1 d=0.574072 t=8092
falt 	截图	c=3 d=3.22619e-15 t=8092
fawy 	截	c=1 d=0.272532 t=8092
faxt 	裁缝	c=1 d=0.463013 t=8092
fbfh 	地址	c=6 d=1.77296 t=8092
fblt 	地图	c=3 d=2.79257 t=8092
fbn 	地	c=3 d=0.486923 t=8092
fbut 	地道	c=2 d=0.96959 t=8092
fbyy 	地方	c=3 d=1.08898 t=8092
fcb 	却	c=1 d=0.527292 t=8092
fcbn 	去了	c=1 d=0.99005 t=8092
fcbw 	去除	c=2 d=0.384812 t=8092
fce 	动	c=2 d=0.206097 t=8092
fcgl 	动画	c=1 d=0.763379 t=8092
fcij 	动漫	c=5 d=1.33797 t=8092
fcit 	云海	c=3 d=2.27166 t=8092
fcqn 	博物馆	c=1 d=0.0247235 t=8092
fcra 	喜马拉雅	c=1 d=0.66034 t=8092
fcrf 	支持	c=1 d=0.0145524 t=8092
fcrh 	去掉	c=1 d=0.0161635 t=8092
fcrt 	动手	c=1 d=0.0131675 t=8092
fctg 	运行	c=6 d=2.51859 t=8092
fctu 	云盘	c=4 d=0.711702 t=8092
fcu 	云	c=8 d=1.08126 t=8092
fcu 	去	c=3 d=0.133178 t=8092
fcyn 	动词	c=1 d=0.484325 t=8092
fdn 	城	c=1 d=0.10435 t=8092
fdsv 	需要	c=2 d=1.11711 t=8092
fdyn 	老友记	c=1 d=0.0930147 t=8092
feyy 	协议	c=1 d=0.404542 t=8092
ffgk 	土豆	c=2 d=0.829662 t=8092
ffuk 	墙	c=1 d=0.215455 t=8092
fgfg 	二十	c=1 d=0.588605 t=8092
fgg 	二	c=2 d=0.802519 t=8092
fggy 	未	c=1 d=0.121846 t=8092
fghg 	甘	c=1 d=0.546075 t=8092
fgtd 	未知	c=1 d=0.12938 t=8092
fguq 	二次	c=1 d=0.985112 t=8092
fgwv 	十分	c=2 d=0.385662 t=8092
fgxw 	二维	c=1 d=6.44255e-05 t=8092
fha 	越	c=3 d=0.910104 t=8092
fhen 	吉卜力	c=1 d=0.985112 t=8092
fhgu 	起来	c=2 d=0.930778 t=8092
fhid 	起源	c=1 d=0.278038 t=8092
fhip 	直觉	c=1 d=0.621884 t=8092
fhjg 	真是	c=1 d=0.138761 t=8092
fhn 	起	c=5 d=1.27019 t=8092
fhqe 	直角	c=2 d=0.856906 t=8092
fhru 	直接	c=3 d=0.261541 t=8092
fhu 	走	c=4 d=2.78859 t=8092
fhud 	起头	c=1 d=0.0378169 t=8092
fhxg 	直线	c=1 d=0.0124629 t=8092
fhyc 	直译	c=1 d=0.133321 t=8092
fhyd 	真诚	c=1 d=0.995012 t=8092
fj 	刊	c=4 d=1.48357 t=8092
fjk 	井	c=1 d=0.546075 t=8092
fjtg 	进行	c=6 d=0.362937 t=8092
fjtk 	进程	c=3 d=1.69472 t=8092
fjty 	进入	c=1 d=0.65377 t=8092
fk 	吉	c=1 d=0.965605 t=8092
fku 	喜	c=1 d=0.231078 t=8092
fldp 	雷达	c=1 d=0.00216572 t=8092
fmuf 	南	c=1 d=0.0468877 t=8092
fnhc 	霞	c=1 d=0.0239928 t=8092
fnjy 	场景	c=11 d=0.511087 t=8092
fnrt 	场	c=1 d=0.00050296 t=8092
fny 	专	c=2 d=1.28701 t=8092
fofo 	赫	c=1 d=0.516852 t=8092
fp 	过	c=5 d=1.22026 t=8092
fpfc 	过去	c=1 d=0.000925665 t=8092
fpgf 	过于	c=1 d=0.000365224 t=8092
fpjf 	过时	c=1 d=0.726149 t=8092
fq 	无	c=4 d=0.522432 t=8092
fqbq 	无聊	c=2 d=0.983367 t=8092
fqif 	无法	c=19 d=1.93096 t=8092
fqpy 	无礼	c=1 d=0.136695 t=8092
fqtk 	远程	c=1 d=0.0186856 t=8092
fr 	垢	c=1 d=0.941765 t=8092
frc 	坂	c=2 d=1.96531 t=8092
frsg 	垢本	c=-1 d=0.955997 t=8092
fsdg 	坂本龙一	c=5 d=2.72006 t=8092
fspt 	博客	c=1 d=0.275271 t=8092
fsww 	某人	c=1 d=0.499075 t=8092
ft 	才	c=3 d=0.205626 t=8092
ftbt 	教	c=1 d=0.0428521 t=8092
ftdc 	老友	c=2 d=0.183261 t=8092
fte 	雾	c=1 d=0.0590128 t=8092
ftg 	考	c=3 d=2.89699 t=8092
ftgn 	考	c=3 d=1.79674 t=8092
ftip 	教堂	c=1 d=0.923116 t=8092
ftj 	者	c=3 d=0.19798 t=8092
ftjb 	都	c=3 d=0.306396 t=8092
ftjg 	老师	c=1 d=0.371577 t=8092
ftjg 	都是	c=4 d=0.0212407 t=8092
ftjo 	煮	c=1 d=0.148823 t=8092
fttk 	教程	c=11 d=1.80419 t=8092
ftyc 	教育	c=7 d=2.65095 t=8092
fudd 	增大	c=1 d=0.00283703 t=8092
fuxk 	增强	c=2 d=0.0982755 t=8092
fuym 	增高	c=1 d=0.208045 t=8092
fwtd 	霍乱	c=1 d=0.985112 t=8092
fwyc 	零	c=1 d=0.680451 t=8092
g 	一	c=11 d=3.18621 t=8092
ga 	开	c=4 d=0.556808 t=8092
gae 	形	c=1 d=0.33454 t=8092
gaii 	开水	c=1 d=0.149569 t=8092
gajf 	型	c=2 d=1.22791 t=8092
gant 	开发	c=7 d=4.11741 t=8092
gard 	开拓	c=1 d=0.179066 t=8092
gasw 	开机	c=1 d=0.301195 t=8092
gasw 	开枪	c=1 d=0.299692 t=8092
gaud 	开关	c=3 d=2.18953 t=8092
gavc 	开始	c=2 d=0.471198 t=8092
gayn 	开启	c=3 d=1.6136 t=8092
gayn 	开户	c=1 d=0.0572687 t=8092
gbgy 	玻璃	c=4 d=1.05032 t=8092
gc 	到	c=9 d=2.6823 t=8092
gcfj 	到	c=3 d=0.37809 t=8092
gcjf 	到时	c=1 d=0.063609 t=8092
gd 	天	c=3 d=2.21702 t=8092
gdaa 	表达式	c=1 d=0.0231099 t=8092
gdfu 	环境	c=6 d=1.51895 t=8092
gdgh 	天下	c=1 d=0.302704 t=8092
gdiv 	天津	c=4 d=1.41386 t=8092
gdk 	吞	c=2 d=0.919451 t=8092
gdrt 	天气	c=9 d=1.75776 t=8092
gdtr 	天鹅	c=2 d=0.820389 t=8092
gdyg 	天主	c=1 d=0.918512 t=8092
ge 	表	c=3 d=2.21198 t=8092
gedp 	表达	c=7 d=1.48307 t=8092
gefi 	表示	c=3 d=0.428012 t=8092
geit 	静海	c=2 d=1.74745 t=8092
geqh 	静	c=1 d=0.0599047 t=8092
geqm 	青岛	c=1 d=0.0466538 t=8092
gest 	表格	c=1 d=0.554327 t=8092
gf 	于	c=14 d=1.39754 t=8092
gfjg 	于是	c=1 d=0.013912 t=8092
gg 	五	c=2 d=1.41979 t=8092
ggad 	一项	c=2 d=0.000123403 t=8092
ggdd 	一套	c=2 d=0.144747 t=8092
gggd 	一天	c=1 d=0.122457 t=8092
gggg 	王	c=2 d=0.943168 t=8092
gggh 	一下	c=2 d=0.516144 t=8092
gggy 	夫	c=1 d=0.400517 t=8092
gghk 	一点	c=1 d=0.170333 t=8092
gghx 	一些	c=3 d=0.674415 t=8092
