# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5035
#@/user_id	salt-linux
a 	啊	c=5 d=2.59854 t=5035
cang ku 	倉庫	c=3 d=1.9458 t=5035
cang tian 	蒼天	c=1 d=0.634448 t=5035
cao zuo 	操作	c=6 d=1.58069 t=5035
ce 	側	c=1 d=0.568672 t=5035
ce liang 	測量	c=1 d=0.344728 t=5035
ce shi 	測試	c=7 d=2.68723 t=5035
cen ci bu qi 	參差不齊	c=1 d=0.0731678 t=5035
ceng 	層	c=3 d=1.62697 t=5035
ceng 	曾	c=1 d=0.414783 t=5035
ceng wei ta 	曾爲他	c=1 d=0.264477 t=5035
cha bu duo 	差不多	c=1 d=0.19593 t=5035
cha fen fang cheng 	差分方程	c=1 d=0.453845 t=5035
cha jian 	插件	c=9 d=1.33167 t=5035
cha kan 	查看	c=10 d=2.61131 t=5035
cha kan ri zhi 	查看日誌	c=1 d=0.00708341 t=5035
cha ru 	插入	c=1 d=0.737123 t=5035
cha xun 	查詢	c=3 d=0.782705 t=5035
cha yi 	差異	c=1 d=0.88692 t=5035
cha zhao 	查找	c=1 d=0.00158844 t=5035
cha zhi 	插值	c=1 d=0.737123 t=5035
chan cheng 	禪城	c=1 d=0.826959 t=5035
chan liang 	產量	c=1 d=0.812707 t=5035
chan pin 	產品	c=1 d=0.585669 t=5035
chan sheng 	產生	c=1 d=0.831104 t=5035
chang 	長	c=2 d=0.985112 t=5035
chang du 	長度	c=1 d=0.501576 t=5035
chang fang ti 	長方體	c=1 d=0.444858 t=5035
chang jian 	常見	c=3 d=1.2782 t=5035
chang jin hu 	長津湖	c=2 d=1.35751 t=5035
chang jing 	場景	c=2 d=1.04635 t=5035
chang jing liu 	場景流	c=2 d=0.955997 t=5035
chang lin 	長林	c=0 d=0.019593 t=5035
chang tai 	常態	c=1 d=0.666977 t=5035
chang yong 	常用	c=1 d=0.00690852 t=5035
chang zai 	常在	c=0 d=0.0683861 t=5035
chao ding 	超定	c=1 d=0.453845 t=5035
chao ji 	超級	c=1 d=0.433874 t=5035
chao lian jie 	超鏈接	c=1 d=0.559898 t=5035
chao shi 	超時	c=1 d=0.647265 t=5035
che 	車	c=1 d=0.67368 t=5035
che dao 	車道	c=1 d=0.715338 t=5035
